example_id                                          | status | run_time        |
./spec/sequel/privacy/viewer_context_spec.rb[1:3:1] | passed | 0.00012 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[1:3:2] | passed | 0.00005 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[1:3:3] | passed | 0.00015 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[1:3:4] | passed | 0.00202 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[2:1]   | passed | 0.00003 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[2:2]   | passed | 0.00003 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[3:1]   | passed | 0.00003 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[3:2]   | passed | 0.00007 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[3:3]   | passed | 0.00003 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[3:4]   | passed | 0.00037 seconds |
